GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
pamvotis,pamvotis.sources,HTTPSource,318,0,16,0,65,0,13,0,5,0
pamvotis,pamvotis.sources,RandomGenerator,205,0,20,0,45,0,19,0,7,0
pamvotis,pamvotis.sources,GenericSource,139,0,14,0,26,0,10,0,3,0
pamvotis,pamvotis.sources,Source,8,0,0,0,2,0,1,0,1,0
pamvotis,pamvotis.sources,FTPSource,191,0,12,0,40,0,10,0,4,0
pamvotis,pamvotis.sources,VideoSource,175,0,6,0,39,0,7,0,4,0
pamvotis,pamvotis.core,SpecParams,22,354,0,0,11,87,1,1,1,1
pamvotis,pamvotis.core,PacketBuffer,41,19,4,0,10,6,7,1,5,1
pamvotis,pamvotis.core,Simulator,5061,231,306,9,952,59,193,6,34,3
pamvotis,pamvotis.core,Params,24,43,0,0,3,15,1,2,1,2
pamvotis,pamvotis.core,MobileNode,31,103,0,0,10,32,7,2,7,2
pamvotis,pamvotis.core,SourceManager,207,17,26,0,46,6,19,1,6,1
pamvotis,pamvotis.core,VirtualPacket,12,0,0,0,5,0,1,0,1,0
pamvotis,pamvotis.core,Packet,3,0,0,0,1,0,1,0,1,0
pamvotis,pamvotis.intf,Run.SimThread,201,0,6,0,44,0,7,0,4,0
pamvotis,pamvotis.intf,Pamvotis,2081,0,80,0,377,0,72,0,32,0
pamvotis,pamvotis.intf,Opener,237,0,26,0,49,0,20,0,7,0
pamvotis,pamvotis.intf,Pamvotis.RTSListener,50,0,4,0,10,0,4,0,2,0
pamvotis,pamvotis.intf,Run,460,0,0,0,83,0,7,0,7,0
pamvotis,pamvotis.intf,About,750,0,8,0,126,0,10,0,6,0
pamvotis,pamvotis.intf,Stats.new ActionListener() {...},24,0,0,0,6,0,2,0,2,0
pamvotis,pamvotis.intf,Stats.new WindowAdapter() {...},24,0,0,0,6,0,2,0,2,0
pamvotis,pamvotis.intf,Stats.new ActionListener() {...},24,0,0,0,6,0,2,0,2,0
pamvotis,pamvotis.intf,Lisence,334,0,10,0,62,0,12,0,7,0
pamvotis,pamvotis.intf,MakeNtConf,2893,0,106,0,654,0,90,0,37,0
pamvotis,pamvotis.intf,Stats,1138,0,82,0,171,0,60,0,19,0
pamvotis,pamvotis.intf,Config.new ActionListener() {...},24,0,0,0,6,0,2,0,2,0
pamvotis,pamvotis.intf,Config.new ActionListener() {...},24,0,0,0,6,0,2,0,2,0
pamvotis,pamvotis.intf,Config.new WindowAdapter() {...},24,0,0,0,6,0,2,0,2,0
pamvotis,pamvotis.intf,About.new ActionListener() {...},21,0,0,0,5,0,2,0,2,0
pamvotis,pamvotis.intf,About.new WindowAdapter() {...},21,0,0,0,5,0,2,0,2,0
pamvotis,pamvotis.intf,Edca.new ActionListener() {...},24,0,0,0,6,0,2,0,2,0
pamvotis,pamvotis.intf,Config,2783,0,90,0,518,0,86,0,41,0
pamvotis,pamvotis.intf,Edca.new ActionListener() {...},24,0,0,0,6,0,2,0,2,0
pamvotis,pamvotis.intf,Edca.new WindowAdapter() {...},24,0,0,0,6,0,2,0,2,0
pamvotis,pamvotis.intf,Edca,1829,0,40,0,331,0,45,0,25,0
pamvotis,pamvotis.intf,Pamvotis.ViewFilter,28,0,6,0,8,0,6,0,3,0
pamvotis,pamvotis.intf,Run.new ActionListener() {...},57,0,2,0,10,0,3,0,2,0
pamvotis,pamvotis.intf,Run.new ActionListener() {...},71,0,2,0,11,0,3,0,2,0
pamvotis,pamvotis.intf,Lisence.new ActionListener() {...},21,0,0,0,5,0,2,0,2,0
pamvotis,pamvotis.intf,Lisence.new WindowAdapter() {...},21,0,0,0,5,0,2,0,2,0
pamvotis,pamvotis.intf,Run.Task,144,0,6,0,24,0,5,0,2,0
pamvotis,pamvotis.intf,Pamvotis.new Runnable() {...},14,0,0,0,5,0,2,0,2,0
pamvotis,pamvotis.intf,Pamvotis.new ActionListener() {...},61,0,6,0,11,0,5,0,2,0
pamvotis,pamvotis.intf,Pamvotis.new ActionListener() {...},40,0,2,0,8,0,3,0,2,0
pamvotis,pamvotis.intf,Pamvotis.new ActionListener() {...},16,0,0,0,4,0,2,0,2,0
pamvotis,pamvotis.intf,Pamvotis.new ActionListener() {...},17,0,0,0,4,0,2,0,2,0
pamvotis,pamvotis.intf,Pamvotis.new ActionListener() {...},20,0,0,0,5,0,2,0,2,0
pamvotis,pamvotis.intf,Pamvotis.new ActionListener() {...},17,0,0,0,4,0,2,0,2,0
pamvotis,pamvotis.intf,Pamvotis.new ActionListener() {...},45,0,2,0,7,0,3,0,2,0
pamvotis,pamvotis.intf,Pamvotis.new ActionListener() {...},9,0,0,0,3,0,2,0,2,0
pamvotis,pamvotis.intf,Pamvotis.new ActionListener() {...},10,0,0,0,3,0,2,0,2,0
pamvotis,pamvotis.intf,Pamvotis.new ActionListener() {...},22,0,0,0,5,0,2,0,2,0
pamvotis,pamvotis.intf,Pamvotis.new ActionListener() {...},26,0,0,0,3,0,2,0,2,0
pamvotis,pamvotis.intf,Pamvotis.new ActionListener() {...},20,0,0,0,5,0,2,0,2,0
pamvotis,pamvotis.intf,Pamvotis.new ActionListener() {...},16,0,0,0,4,0,2,0,2,0
pamvotis,pamvotis.intf,Pamvotis.new ActionListener() {...},20,0,0,0,5,0,2,0,2,0
pamvotis,pamvotis.intf,Config.PhyRadioListener,12,0,0,0,3,0,2,0,2,0
pamvotis,pamvotis.intf,Pamvotis.NtConfFilter,32,0,8,0,8,0,7,0,3,0
pamvotis,pamvotis.intf,Pamvotis.new ActionListener() {...},9,0,0,0,3,0,2,0,2,0
pamvotis,pamvotis.exceptions,ElementDoesNotExistException,0,4,0,0,0,2,0,1,0,1
pamvotis,pamvotis.exceptions,ElementExistsException,4,0,0,0,2,0,1,0,1,0
pamvotis,pamvotis.exceptions,ConfigurationException,4,0,0,0,2,0,1,0,1,0
pamvotis,pamvotis.exceptions,UnknownDistributionException,4,0,0,0,2,0,1,0,1,0
