file,class,method,variable,usage
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons\src\main\java\xorg\apache\commons\lang\ArrayUtils.java,xorg.apache.commons.lang.ArrayUtils,"indexOf/2[double[],double]",INDEX_NOT_FOUND,2
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons\src\main\java\xorg\apache\commons\lang\ArrayUtils.java,xorg.apache.commons.lang.ArrayUtils,"subarray/3[short[],int,int]",EMPTY_SHORT_ARRAY,1
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons\src\main\java\xorg\apache\commons\lang\ArrayUtils.java,xorg.apache.commons.lang.ArrayUtils,"indexOf/3[char[],char,int]",INDEX_NOT_FOUND,5
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons\src\main\java\xorg\apache\commons\lang\ArrayUtils.java,xorg.apache.commons.lang.ArrayUtils,"removeElement/2[java.lang.Object[],java.lang.Object]",INDEX_NOT_FOUND,1
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons\src\main\java\xorg\apache\commons\lang\ArrayUtils.java,xorg.apache.commons.lang.ArrayUtils,"contains/2[short[],short]",INDEX_NOT_FOUND,1
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons\src\main\java\xorg\apache\commons\lang\ArrayUtils.java,xorg.apache.commons.lang.ArrayUtils,"toPrimitive/2[java.lang.Byte[],byte]",EMPTY_BYTE_ARRAY,1
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons\src\main\java\xorg\apache\commons\lang\ArrayUtils.java,xorg.apache.commons.lang.ArrayUtils,"lastIndexOf/3[java.lang.Object[],java.lang.Object,int]",INDEX_NOT_FOUND,6
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons\src\main\java\xorg\apache\commons\lang\ArrayUtils.java,xorg.apache.commons.lang.ArrayUtils,"lastIndexOf/3[double[],double,int]",INDEX_NOT_FOUND,6
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons\src\main\java\xorg\apache\commons\lang\ArrayUtils.java,xorg.apache.commons.lang.ArrayUtils,"indexOf/2[float[],float]",INDEX_NOT_FOUND,2
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons\src\main\java\xorg\apache\commons\lang\ArrayUtils.java,xorg.apache.commons.lang.ArrayUtils,"removeElement/2[boolean[],boolean]",INDEX_NOT_FOUND,1
