file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons\src\main\java\xorg\apache\commons\lang\ArrayUtils.java,xorg.apache.commons.lang.ArrayUtils,"indexOf/2[double[],double]",false,1848,2,3,2,1,1,1,3,1,0,2,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,28,9,0,true
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons\src\main\java\xorg\apache\commons\lang\ArrayUtils.java,xorg.apache.commons.lang.ArrayUtils,isEmpty/1[boolean[]],false,2935,1,2,2,0,3,0,6,2,0,1,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,18,9,0,true
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons\src\main\java\xorg\apache\commons\lang\ArrayUtils.java,xorg.apache.commons.lang.ArrayUtils,"add/3[boolean[],int,boolean]",false,3540,2,1,0,1,1,2,3,1,0,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,61,9,0,true
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons\src\main\java\xorg\apache\commons\lang\ArrayUtils.java,xorg.apache.commons.lang.ArrayUtils,"subarray/3[short[],int,int]",false,558,1,0,0,0,5,1,18,3,2,3,1,0,0,0,1,0,0,0,4,4,1,1,0,0,0,53,9,0,true
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons\src\main\java\xorg\apache\commons\lang\ArrayUtils.java,xorg.apache.commons.lang.ArrayUtils,"indexOf/3[char[],char,int]",false,1657,1,1,1,0,5,0,14,3,1,3,0,0,0,1,2,0,0,0,2,2,0,2,0,0,0,54,9,0,true
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons\src\main\java\xorg\apache\commons\lang\ArrayUtils.java,xorg.apache.commons.lang.ArrayUtils,"removeElement/2[java.lang.Object[],java.lang.Object]",false,3852,1,3,0,3,2,3,7,2,1,2,3,3,4,0,1,0,0,0,0,1,0,1,0,0,0,67,9,0,true
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons\src\main\java\xorg\apache\commons\lang\ArrayUtils.java,xorg.apache.commons.lang.ArrayUtils,"contains/2[short[],short]",false,1621,2,1,0,1,2,1,3,1,0,2,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,34,9,0,true
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons\src\main\java\xorg\apache\commons\lang\ArrayUtils.java,xorg.apache.commons.lang.ArrayUtils,"isSameLength/2[short[],short[]]",false,840,1,0,0,0,10,0,6,2,0,2,0,0,0,0,7,0,3,0,2,0,0,1,0,0,0,28,9,0,true
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons\src\main\java\xorg\apache\commons\lang\ArrayUtils.java,xorg.apache.commons.lang.ArrayUtils,"toPrimitive/2[java.lang.Byte[],byte]",false,2576,1,0,0,0,5,1,14,3,3,2,1,0,0,1,3,0,1,0,2,4,0,1,0,0,0,39,9,0,true
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons\src\main\java\xorg\apache\commons\lang\ArrayUtils.java,xorg.apache.commons.lang.ArrayUtils,isEmpty/1[java.lang.Object[]],false,2823,0,0,0,0,3,0,6,2,0,1,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,17,9,0,true
