file,class,method,variable,usage
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons\src\main\java\xorg\apache\commons\lang\ArrayUtils.java,xorg.apache.commons.lang.ArrayUtils,"indexOf/2[double[],double]",array,1
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons\src\main\java\xorg\apache\commons\lang\ArrayUtils.java,xorg.apache.commons.lang.ArrayUtils,"indexOf/2[double[],double]",valueToFind,1
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons\src\main\java\xorg\apache\commons\lang\ArrayUtils.java,xorg.apache.commons.lang.ArrayUtils,isEmpty/1[boolean[]],array,2
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons\src\main\java\xorg\apache\commons\lang\ArrayUtils.java,xorg.apache.commons.lang.ArrayUtils,"add/3[boolean[],int,boolean]",array,1
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons\src\main\java\xorg\apache\commons\lang\ArrayUtils.java,xorg.apache.commons.lang.ArrayUtils,"add/3[boolean[],int,boolean]",index,1
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons\src\main\java\xorg\apache\commons\lang\ArrayUtils.java,xorg.apache.commons.lang.ArrayUtils,"add/3[boolean[],int,boolean]",element,1
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons\src\main\java\xorg\apache\commons\lang\ArrayUtils.java,xorg.apache.commons.lang.ArrayUtils,"subarray/3[short[],int,int]",array,4
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons\src\main\java\xorg\apache\commons\lang\ArrayUtils.java,xorg.apache.commons.lang.ArrayUtils,"subarray/3[short[],int,int]",startIndexInclusive,4
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons\src\main\java\xorg\apache\commons\lang\ArrayUtils.java,xorg.apache.commons.lang.ArrayUtils,"subarray/3[short[],int,int]",newSize,3
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons\src\main\java\xorg\apache\commons\lang\ArrayUtils.java,xorg.apache.commons.lang.ArrayUtils,"subarray/3[short[],int,int]",subarray,2
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons\src\main\java\xorg\apache\commons\lang\ArrayUtils.java,xorg.apache.commons.lang.ArrayUtils,"subarray/3[short[],int,int]",endIndexExclusive,3
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons\src\main\java\xorg\apache\commons\lang\ArrayUtils.java,xorg.apache.commons.lang.ArrayUtils,"indexOf/3[char[],char,int]",startIndex,3
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons\src\main\java\xorg\apache\commons\lang\ArrayUtils.java,xorg.apache.commons.lang.ArrayUtils,"indexOf/3[char[],char,int]",array,3
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons\src\main\java\xorg\apache\commons\lang\ArrayUtils.java,xorg.apache.commons.lang.ArrayUtils,"indexOf/3[char[],char,int]",valueToFind,1
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons\src\main\java\xorg\apache\commons\lang\ArrayUtils.java,xorg.apache.commons.lang.ArrayUtils,"indexOf/3[char[],char,int]",i,4
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons\src\main\java\xorg\apache\commons\lang\ArrayUtils.java,xorg.apache.commons.lang.ArrayUtils,"removeElement/2[java.lang.Object[],java.lang.Object]",array,3
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons\src\main\java\xorg\apache\commons\lang\ArrayUtils.java,xorg.apache.commons.lang.ArrayUtils,"removeElement/2[java.lang.Object[],java.lang.Object]",index,2
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons\src\main\java\xorg\apache\commons\lang\ArrayUtils.java,xorg.apache.commons.lang.ArrayUtils,"removeElement/2[java.lang.Object[],java.lang.Object]",element,1
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons\src\main\java\xorg\apache\commons\lang\ArrayUtils.java,xorg.apache.commons.lang.ArrayUtils,"contains/2[short[],short]",array,1
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons\src\main\java\xorg\apache\commons\lang\ArrayUtils.java,xorg.apache.commons.lang.ArrayUtils,"contains/2[short[],short]",valueToFind,1
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons\src\main\java\xorg\apache\commons\lang\ArrayUtils.java,xorg.apache.commons.lang.ArrayUtils,"isSameLength/2[short[],short[]]",array2,5
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons\src\main\java\xorg\apache\commons\lang\ArrayUtils.java,xorg.apache.commons.lang.ArrayUtils,"isSameLength/2[short[],short[]]",array1,5
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons\src\main\java\xorg\apache\commons\lang\ArrayUtils.java,xorg.apache.commons.lang.ArrayUtils,"toPrimitive/2[java.lang.Byte[],byte]",result,2
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons\src\main\java\xorg\apache\commons\lang\ArrayUtils.java,xorg.apache.commons.lang.ArrayUtils,"toPrimitive/2[java.lang.Byte[],byte]",b,2
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons\src\main\java\xorg\apache\commons\lang\ArrayUtils.java,xorg.apache.commons.lang.ArrayUtils,"toPrimitive/2[java.lang.Byte[],byte]",valueForNull,1
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons\src\main\java\xorg\apache\commons\lang\ArrayUtils.java,xorg.apache.commons.lang.ArrayUtils,"toPrimitive/2[java.lang.Byte[],byte]",array,5
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons\src\main\java\xorg\apache\commons\lang\ArrayUtils.java,xorg.apache.commons.lang.ArrayUtils,"toPrimitive/2[java.lang.Byte[],byte]",i,4
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons\src\main\java\xorg\apache\commons\lang\ArrayUtils.java,xorg.apache.commons.lang.ArrayUtils,isEmpty/1[java.lang.Object[]],array,2
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons\src\main\java\xorg\apache\commons\lang\ArrayUtils.java,xorg.apache.commons.lang.ArrayUtils,"add/2[double[],double]",array,1
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons\src\main\java\xorg\apache\commons\lang\ArrayUtils.java,xorg.apache.commons.lang.ArrayUtils,"add/2[double[],double]",newArray,3
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons\src\main\java\xorg\apache\commons\lang\ArrayUtils.java,xorg.apache.commons.lang.ArrayUtils,"add/2[double[],double]",element,1
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons\src\main\java\xorg\apache\commons\lang\ArrayUtils.java,xorg.apache.commons.lang.ArrayUtils,"lastIndexOf/3[java.lang.Object[],java.lang.Object,int]",startIndex,5
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons\src\main\java\xorg\apache\commons\lang\ArrayUtils.java,xorg.apache.commons.lang.ArrayUtils,"lastIndexOf/3[java.lang.Object[],java.lang.Object,int]",objectToFind,2
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons\src\main\java\xorg\apache\commons\lang\ArrayUtils.java,xorg.apache.commons.lang.ArrayUtils,"lastIndexOf/3[java.lang.Object[],java.lang.Object,int]",array,5
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons\src\main\java\xorg\apache\commons\lang\ArrayUtils.java,xorg.apache.commons.lang.ArrayUtils,"lastIndexOf/3[java.lang.Object[],java.lang.Object,int]",i,9
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons\src\main\java\xorg\apache\commons\lang\ArrayUtils.java,xorg.apache.commons.lang.ArrayUtils,clone/1[double[]],array,2
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons\src\main\java\xorg\apache\commons\lang\ArrayUtils.java,xorg.apache.commons.lang.ArrayUtils,clone/1[boolean[]],array,2
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons\src\main\java\xorg\apache\commons\lang\ArrayUtils.java,xorg.apache.commons.lang.ArrayUtils,clone/1[float[]],array,2
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons\src\main\java\xorg\apache\commons\lang\ArrayUtils.java,xorg.apache.commons.lang.ArrayUtils,"lastIndexOf/3[double[],double,int]",startIndex,4
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons\src\main\java\xorg\apache\commons\lang\ArrayUtils.java,xorg.apache.commons.lang.ArrayUtils,"lastIndexOf/3[double[],double,int]",array,4
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons\src\main\java\xorg\apache\commons\lang\ArrayUtils.java,xorg.apache.commons.lang.ArrayUtils,"lastIndexOf/3[double[],double,int]",valueToFind,1
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons\src\main\java\xorg\apache\commons\lang\ArrayUtils.java,xorg.apache.commons.lang.ArrayUtils,"lastIndexOf/3[double[],double,int]",i,4
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons\src\main\java\xorg\apache\commons\lang\ArrayUtils.java,xorg.apache.commons.lang.ArrayUtils,"add/2[short[],short]",array,1
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons\src\main\java\xorg\apache\commons\lang\ArrayUtils.java,xorg.apache.commons.lang.ArrayUtils,"add/2[short[],short]",newArray,3
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons\src\main\java\xorg\apache\commons\lang\ArrayUtils.java,xorg.apache.commons.lang.ArrayUtils,"add/2[short[],short]",element,1
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons\src\main\java\xorg\apache\commons\lang\ArrayUtils.java,xorg.apache.commons.lang.ArrayUtils,"add/2[boolean[],boolean]",array,1
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons\src\main\java\xorg\apache\commons\lang\ArrayUtils.java,xorg.apache.commons.lang.ArrayUtils,"add/2[boolean[],boolean]",newArray,3
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons\src\main\java\xorg\apache\commons\lang\ArrayUtils.java,xorg.apache.commons.lang.ArrayUtils,"add/2[boolean[],boolean]",element,1
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons\src\main\java\xorg\apache\commons\lang\ArrayUtils.java,xorg.apache.commons.lang.ArrayUtils,"indexOf/2[float[],float]",array,1
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons\src\main\java\xorg\apache\commons\lang\ArrayUtils.java,xorg.apache.commons.lang.ArrayUtils,"indexOf/2[float[],float]",valueToFind,1
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons\src\main\java\xorg\apache\commons\lang\ArrayUtils.java,xorg.apache.commons.lang.ArrayUtils,"removeElement/2[boolean[],boolean]",array,3
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons\src\main\java\xorg\apache\commons\lang\ArrayUtils.java,xorg.apache.commons.lang.ArrayUtils,"removeElement/2[boolean[],boolean]",index,2
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons\src\main\java\xorg\apache\commons\lang\ArrayUtils.java,xorg.apache.commons.lang.ArrayUtils,"removeElement/2[boolean[],boolean]",element,1
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons\src\main\java\xorg\apache\commons\lang\ArrayUtils.java,xorg.apache.commons.lang.ArrayUtils,clone/1[short[]],array,2
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons\src\main\java\xorg\apache\commons\lang\ArrayUtils.java,xorg.apache.commons.lang.ArrayUtils,"remove/2[int[],int]",array,1
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons\src\main\java\xorg\apache\commons\lang\ArrayUtils.java,xorg.apache.commons.lang.ArrayUtils,"remove/2[int[],int]",index,1
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons\src\main\java\xorg\apache\commons\lang\ArrayUtils.java,xorg.apache.commons.lang.ArrayUtils,clone/1[byte[]],array,2
