file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons\src\main\java\xorg\apache\commons\lang\WordUtils.java,xorg.apache.commons.lang.WordUtils,WordUtils/0,true,11,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons\src\main\java\xorg\apache\commons\lang\WordUtils.java,xorg.apache.commons.lang.WordUtils,swapCase/1[java.lang.String],false,144,0,0,0,0,8,11,37,2,6,1,11,0,0,1,2,0,1,0,4,13,0,5,0,0,0,11,9,0,false
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons\src\main\java\xorg\apache\commons\lang\WordUtils.java,xorg.apache.commons.lang.WordUtils,"initials/2[java.lang.String,char[]]",false,184,2,2,1,1,8,3,25,3,6,2,3,1,1,1,4,0,0,1,7,9,2,3,0,0,0,16,9,0,false
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons\src\main\java\xorg\apache\commons\lang\WordUtils.java,xorg.apache.commons.lang.WordUtils,"isDelimiter/2[char,char[]]",false,210,1,3,3,0,4,1,11,3,2,2,1,0,0,1,2,0,0,0,1,2,0,2,0,0,0,9,10,0,false
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons\src\main\java\xorg\apache\commons\lang\WordUtils.java,xorg.apache.commons.lang.WordUtils,uncapitalize/1[java.lang.String],false,113,1,1,0,1,1,1,3,1,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,false
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons\src\main\java\xorg\apache\commons\lang\WordUtils.java,xorg.apache.commons.lang.WordUtils,"abbreviate/4[java.lang.String,int,int,java.lang.String]",false,223,0,0,0,0,10,7,36,3,2,4,7,0,0,0,5,0,0,1,6,5,0,2,0,0,0,10,9,0,false
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons\src\main\java\xorg\apache\commons\lang\WordUtils.java,xorg.apache.commons.lang.WordUtils,capitalize/1[java.lang.String],false,67,1,1,0,1,1,1,3,1,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,false
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons\src\main\java\xorg\apache\commons\lang\WordUtils.java,xorg.apache.commons.lang.WordUtils,capitalizeFully/1[java.lang.String],false,98,1,1,0,1,1,1,3,1,0,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,false
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons\src\main\java\xorg\apache\commons\lang\WordUtils.java,xorg.apache.commons.lang.WordUtils,"uncapitalize/2[java.lang.String,char[]]",false,118,2,2,1,1,8,6,26,2,6,2,6,1,1,1,4,0,0,0,4,8,0,3,0,0,0,14,9,0,false
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons\src\main\java\xorg\apache\commons\lang\WordUtils.java,xorg.apache.commons.lang.WordUtils,"wrap/4[java.lang.String,int,java.lang.String,boolean]",false,21,0,1,1,0,9,8,47,2,4,4,8,0,0,1,3,0,0,0,7,11,7,4,0,0,0,16,9,0,false
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons\src\main\java\xorg\apache\commons\lang\WordUtils.java,xorg.apache.commons.lang.WordUtils,initials/1[java.lang.String],false,179,1,1,0,1,1,1,3,1,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,false
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons\src\main\java\xorg\apache\commons\lang\WordUtils.java,xorg.apache.commons.lang.WordUtils,"capitalize/2[java.lang.String,char[]]",false,72,2,3,2,1,8,6,26,2,6,2,6,1,1,1,4,0,0,0,4,8,0,3,0,0,0,14,9,0,false
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons\src\main\java\xorg\apache\commons\lang\WordUtils.java,xorg.apache.commons.lang.WordUtils,"capitalizeFully/2[java.lang.String,char[]]",false,103,2,2,1,1,5,3,8,2,1,2,3,1,2,0,4,0,0,0,3,2,0,1,0,0,0,7,9,0,false
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons\src\main\java\xorg\apache\commons\lang\WordUtils.java,xorg.apache.commons.lang.WordUtils,"wrap/2[java.lang.String,int]",false,16,1,1,0,1,1,1,3,1,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,false
