file,class,method,variable,usage
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons\src\main\java\xorg\apache\commons\lang\WordUtils.java,xorg.apache.commons.lang.WordUtils,swapCase/1[java.lang.String],str,4
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons\src\main\java\xorg\apache\commons\lang\WordUtils.java,xorg.apache.commons.lang.WordUtils,swapCase/1[java.lang.String],strLen,3
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons\src\main\java\xorg\apache\commons\lang\WordUtils.java,xorg.apache.commons.lang.WordUtils,swapCase/1[java.lang.String],ch,10
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons\src\main\java\xorg\apache\commons\lang\WordUtils.java,xorg.apache.commons.lang.WordUtils,swapCase/1[java.lang.String],tmp,6
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons\src\main\java\xorg\apache\commons\lang\WordUtils.java,xorg.apache.commons.lang.WordUtils,swapCase/1[java.lang.String],i,3
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons\src\main\java\xorg\apache\commons\lang\WordUtils.java,xorg.apache.commons.lang.WordUtils,swapCase/1[java.lang.String],buffer,2
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons\src\main\java\xorg\apache\commons\lang\WordUtils.java,xorg.apache.commons.lang.WordUtils,swapCase/1[java.lang.String],whitespace,2
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons\src\main\java\xorg\apache\commons\lang\WordUtils.java,xorg.apache.commons.lang.WordUtils,"initials/2[java.lang.String,char[]]",str,5
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons\src\main\java\xorg\apache\commons\lang\WordUtils.java,xorg.apache.commons.lang.WordUtils,"initials/2[java.lang.String,char[]]",strLen,2
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons\src\main\java\xorg\apache\commons\lang\WordUtils.java,xorg.apache.commons.lang.WordUtils,"initials/2[java.lang.String,char[]]",buf,2
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons\src\main\java\xorg\apache\commons\lang\WordUtils.java,xorg.apache.commons.lang.WordUtils,"initials/2[java.lang.String,char[]]",ch,2
