file,class,method,variable,usage
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons-math\src\main\java\org\apache\commons\math\util\MathUtils.java,org.apache.commons.math.util.MathUtils,"normalizeAngle/2[double,double]",TWO_PI,2
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons-math\src\main\java\org\apache\commons\math\util\MathUtils.java,org.apache.commons.math.util.MathUtils,sign/1[short],PS,1
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons-math\src\main\java\org\apache\commons\math\util\MathUtils.java,org.apache.commons.math.util.MathUtils,sign/1[short],NS,1
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons-math\src\main\java\org\apache\commons\math\util\MathUtils.java,org.apache.commons.math.util.MathUtils,sign/1[short],ZS,3
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons-math\src\main\java\org\apache\commons\math\util\MathUtils.java,org.apache.commons.math.util.MathUtils,sign/1[byte],PB,1
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons-math\src\main\java\org\apache\commons\math\util\MathUtils.java,org.apache.commons.math.util.MathUtils,sign/1[byte],NB,1
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons-math\src\main\java\org\apache\commons\math\util\MathUtils.java,org.apache.commons.math.util.MathUtils,sign/1[byte],ZB,3
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons-math\src\main\java\org\apache\commons\math\util\MathUtils.java,org.apache.commons.math.util.MathUtils,indicator/1[short],PS,1
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons-math\src\main\java\org\apache\commons\math\util\MathUtils.java,org.apache.commons.math.util.MathUtils,indicator/1[short],NS,1
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons-math\src\main\java\org\apache\commons\math\util\MathUtils.java,org.apache.commons.math.util.MathUtils,indicator/1[short],ZS,1
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons-math\src\main\java\org\apache\commons\math\util\MathUtils.java,org.apache.commons.math.util.MathUtils,indicator/1[byte],PB,1
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons-math\src\main\java\org\apache\commons\math\util\MathUtils.java,org.apache.commons.math.util.MathUtils,indicator/1[byte],NB,1
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons-math\src\main\java\org\apache\commons\math\util\MathUtils.java,org.apache.commons.math.util.MathUtils,indicator/1[byte],ZB,1
