file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons-math\src\main\java\org\apache\commons\math\util\MathUtils.java,org.apache.commons.math.util.MathUtils,sign/1[long],false,971,0,0,0,0,3,0,3,1,0,1,0,0,0,0,1,0,2,0,5,0,0,0,0,0,0,20,9,0,true
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons-math\src\main\java\org\apache\commons\math\util\MathUtils.java,org.apache.commons.math.util.MathUtils,cosh/1[double],false,265,0,0,0,0,1,1,3,1,0,1,1,0,0,0,0,0,1,0,1,0,2,0,0,0,0,13,9,0,true
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons-math\src\main\java\org\apache\commons\math\util\MathUtils.java,org.apache.commons.math.util.MathUtils,sinh/1[double],false,997,0,0,0,0,1,1,3,1,0,1,1,0,0,0,0,0,1,0,1,0,2,0,0,0,0,13,9,0,true
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons-math\src\main\java\org\apache\commons\math\util\MathUtils.java,org.apache.commons.math.util.MathUtils,"binomialCoefficient/2[int,int]",false,160,1,1,0,1,8,2,19,3,1,2,2,1,2,0,5,0,4,3,5,1,1,1,0,0,0,65,9,0,true
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons-math\src\main\java\org\apache\commons\math\util\MathUtils.java,org.apache.commons.math.util.MathUtils,hash/1[double[]],false,474,2,1,0,1,3,1,10,2,2,1,1,1,1,1,1,0,0,0,3,3,2,1,0,0,0,17,9,0,true
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons-math\src\main\java\org\apache\commons\math\util\MathUtils.java,org.apache.commons.math.util.MathUtils,indicator/1[long],false,541,0,0,0,0,2,0,3,1,0,1,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,17,9,0,true
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons-math\src\main\java\org\apache\commons\math\util\MathUtils.java,org.apache.commons.math.util.MathUtils,"normalizeAngle/2[double,double]",false,738,0,0,0,0,1,1,3,1,0,2,1,0,0,0,0,0,1,0,0,0,5,0,0,0,0,64,9,0,true
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons-math\src\main\java\org\apache\commons\math\util\MathUtils.java,org.apache.commons.math.util.MathUtils,"subAndCheck/2[int,int]",false,1011,0,0,0,0,3,0,7,1,1,2,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,23,9,0,true
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons-math\src\main\java\org\apache\commons\math\util\MathUtils.java,org.apache.commons.math.util.MathUtils,indicator/1[double],false,504,0,0,0,0,3,1,6,2,0,1,1,0,0,0,0,0,1,0,3,0,0,1,0,0,0,18,9,0,true
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons-math\src\main\java\org\apache\commons\math\util\MathUtils.java,org.apache.commons.math.util.MathUtils,indicator/1[float],false,518,0,1,1,0,3,1,6,2,0,1,1,0,0,0,0,0,1,0,3,0,0,1,0,0,0,17,9,0,true
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons-math\src\main\java\org\apache\commons\math\util\MathUtils.java,org.apache.commons.math.util.MathUtils,sign/1[short],false,986,0,0,0,0,3,0,3,1,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,21,9,0,true
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons-math\src\main\java\org\apache\commons\math\util\MathUtils.java,org.apache.commons.math.util.MathUtils,"lcm/2[int,int]",false,565,1,2,0,2,1,3,3,1,0,2,3,2,1,0,0,0,0,0,0,0,1,0,0,0,0,27,9,0,true
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons-math\src\main\java\org\apache\commons\math\util\MathUtils.java,org.apache.commons.math.util.MathUtils,"binomialCoefficientDouble/2[int,int]",false,206,1,2,1,1,1,3,3,1,0,2,3,1,1,0,0,0,0,0,1,0,1,0,0,0,0,55,9,0,true
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons-math\src\main\java\org\apache\commons\math\util\MathUtils.java,org.apache.commons.math.util.MathUtils,factorialLog/1[int],false,377,0,1,1,0,3,1,10,1,2,1,1,0,0,1,0,0,0,1,3,3,0,1,0,0,0,27,9,0,true
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons-math\src\main\java\org\apache\commons\math\util\MathUtils.java,org.apache.commons.math.util.MathUtils,hash/1[double],false,462,0,1,1,0,1,1,4,1,1,1,1,0,0,0,0,0,2,0,1,1,1,0,0,0,0,13,9,0,true
