file,class,method,variable,usage
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons-math\src\main\java\org\apache\commons\math\util\MathUtils.java,org.apache.commons.math.util.MathUtils,sign/1[long],x,2
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons-math\src\main\java\org\apache\commons\math\util\MathUtils.java,org.apache.commons.math.util.MathUtils,cosh/1[double],x,2
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons-math\src\main\java\org\apache\commons\math\util\MathUtils.java,org.apache.commons.math.util.MathUtils,sinh/1[double],x,2
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons-math\src\main\java\org\apache\commons\math\util\MathUtils.java,org.apache.commons.math.util.MathUtils,"binomialCoefficient/2[int,int]",result,2
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons-math\src\main\java\org\apache\commons\math\util\MathUtils.java,org.apache.commons.math.util.MathUtils,"binomialCoefficient/2[int,int]",k,6
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons-math\src\main\java\org\apache\commons\math\util\MathUtils.java,org.apache.commons.math.util.MathUtils,"binomialCoefficient/2[int,int]",n,6
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons-math\src\main\java\org\apache\commons\math\util\MathUtils.java,org.apache.commons.math.util.MathUtils,hash/1[double[]],result,3
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons-math\src\main\java\org\apache\commons\math\util\MathUtils.java,org.apache.commons.math.util.MathUtils,hash/1[double[]],i,3
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons-math\src\main\java\org\apache\commons\math\util\MathUtils.java,org.apache.commons.math.util.MathUtils,hash/1[double[]],value,4
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons-math\src\main\java\org\apache\commons\math\util\MathUtils.java,org.apache.commons.math.util.MathUtils,indicator/1[long],x,1
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons-math\src\main\java\org\apache\commons\math\util\MathUtils.java,org.apache.commons.math.util.MathUtils,"normalizeAngle/2[double,double]",a,2
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons-math\src\main\java\org\apache\commons\math\util\MathUtils.java,org.apache.commons.math.util.MathUtils,"normalizeAngle/2[double,double]",center,1
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons-math\src\main\java\org\apache\commons\math\util\MathUtils.java,org.apache.commons.math.util.MathUtils,"subAndCheck/2[int,int]",s,3
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons-math\src\main\java\org\apache\commons\math\util\MathUtils.java,org.apache.commons.math.util.MathUtils,"subAndCheck/2[int,int]",x,1
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons-math\src\main\java\org\apache\commons\math\util\MathUtils.java,org.apache.commons.math.util.MathUtils,"subAndCheck/2[int,int]",y,1
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons-math\src\main\java\org\apache\commons\math\util\MathUtils.java,org.apache.commons.math.util.MathUtils,indicator/1[double],x,2
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons-math\src\main\java\org\apache\commons\math\util\MathUtils.java,org.apache.commons.math.util.MathUtils,indicator/1[float],x,2
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons-math\src\main\java\org\apache\commons\math\util\MathUtils.java,org.apache.commons.math.util.MathUtils,sign/1[short],x,2
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons-math\src\main\java\org\apache\commons\math\util\MathUtils.java,org.apache.commons.math.util.MathUtils,"lcm/2[int,int]",a,2
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons-math\src\main\java\org\apache\commons\math\util\MathUtils.java,org.apache.commons.math.util.MathUtils,"lcm/2[int,int]",b,2
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons-math\src\main\java\org\apache\commons\math\util\MathUtils.java,org.apache.commons.math.util.MathUtils,"binomialCoefficientDouble/2[int,int]",k,1
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons-math\src\main\java\org\apache\commons\math\util\MathUtils.java,org.apache.commons.math.util.MathUtils,"binomialCoefficientDouble/2[int,int]",n,1
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons-math\src\main\java\org\apache\commons\math\util\MathUtils.java,org.apache.commons.math.util.MathUtils,factorialLog/1[int],logSum,2
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons-math\src\main\java\org\apache\commons\math\util\MathUtils.java,org.apache.commons.math.util.MathUtils,factorialLog/1[int],i,3
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons-math\src\main\java\org\apache\commons\math\util\MathUtils.java,org.apache.commons.math.util.MathUtils,factorialLog/1[int],n,2
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons-math\src\main\java\org\apache\commons\math\util\MathUtils.java,org.apache.commons.math.util.MathUtils,hash/1[double],bits,2
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons-math\src\main\java\org\apache\commons\math\util\MathUtils.java,org.apache.commons.math.util.MathUtils,hash/1[double],value,1
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons-math\src\main\java\org\apache\commons\math\util\MathUtils.java,org.apache.commons.math.util.MathUtils,sign/1[byte],x,2
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons-math\src\main\java\org\apache\commons\math\util\MathUtils.java,org.apache.commons.math.util.MathUtils,"log/2[double,double]",x,1
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons-math\src\main\java\org\apache\commons\math\util\MathUtils.java,org.apache.commons.math.util.MathUtils,"log/2[double,double]",base,1
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons-math\src\main\java\org\apache\commons\math\util\MathUtils.java,org.apache.commons.math.util.MathUtils,"mulAndCheck/2[long,long]",ret,7
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons-math\src\main\java\org\apache\commons\math\util\MathUtils.java,org.apache.commons.math.util.MathUtils,"mulAndCheck/2[long,long]",msg,3
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons-math\src\main\java\org\apache\commons\math\util\MathUtils.java,org.apache.commons.math.util.MathUtils,"mulAndCheck/2[long,long]",a,10
