file,class,method,variable,usage
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons-math\src\main\java\org\apache\commons\math\geometry\Vector3D.java,org.apache.commons.math.geometry.Vector3D,"Vector3D/2[double,org.apache.commons.math.geometry.Vector3D]",x,1
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons-math\src\main\java\org\apache\commons\math\geometry\Vector3D.java,org.apache.commons.math.geometry.Vector3D,"Vector3D/2[double,org.apache.commons.math.geometry.Vector3D]",y,1
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons-math\src\main\java\org\apache\commons\math\geometry\Vector3D.java,org.apache.commons.math.geometry.Vector3D,"Vector3D/2[double,org.apache.commons.math.geometry.Vector3D]",z,1
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons-math\src\main\java\org\apache\commons\math\geometry\Vector3D.java,org.apache.commons.math.geometry.Vector3D,getDelta/0,z,1
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons-math\src\main\java\org\apache\commons\math\geometry\Vector3D.java,org.apache.commons.math.geometry.Vector3D,getY/0,y,1
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons-math\src\main\java\org\apache\commons\math\geometry\Vector3D.java,org.apache.commons.math.geometry.Vector3D,"Vector3D/6[double,org.apache.commons.math.geometry.Vector3D,double,org.apache.commons.math.geometry.Vector3D,double,org.apache.commons.math.geometry.Vector3D]",x,1
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons-math\src\main\java\org\apache\commons\math\geometry\Vector3D.java,org.apache.commons.math.geometry.Vector3D,"Vector3D/6[double,org.apache.commons.math.geometry.Vector3D,double,org.apache.commons.math.geometry.Vector3D,double,org.apache.commons.math.geometry.Vector3D]",y,1
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons-math\src\main\java\org\apache\commons\math\geometry\Vector3D.java,org.apache.commons.math.geometry.Vector3D,"Vector3D/6[double,org.apache.commons.math.geometry.Vector3D,double,org.apache.commons.math.geometry.Vector3D,double,org.apache.commons.math.geometry.Vector3D]",z,1
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons-math\src\main\java\org\apache\commons\math\geometry\Vector3D.java,org.apache.commons.math.geometry.Vector3D,"Vector3D/8[double,org.apache.commons.math.geometry.Vector3D,double,org.apache.commons.math.geometry.Vector3D,double,org.apache.commons.math.geometry.Vector3D,double,org.apache.commons.math.geometry.Vector3D]",x,1
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons-math\src\main\java\org\apache\commons\math\geometry\Vector3D.java,org.apache.commons.math.geometry.Vector3D,"Vector3D/8[double,org.apache.commons.math.geometry.Vector3D,double,org.apache.commons.math.geometry.Vector3D,double,org.apache.commons.math.geometry.Vector3D,double,org.apache.commons.math.geometry.Vector3D]",y,1
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons-math\src\main\java\org\apache\commons\math\geometry\Vector3D.java,org.apache.commons.math.geometry.Vector3D,"Vector3D/8[double,org.apache.commons.math.geometry.Vector3D,double,org.apache.commons.math.geometry.Vector3D,double,org.apache.commons.math.geometry.Vector3D,double,org.apache.commons.math.geometry.Vector3D]",z,1
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons-math\src\main\java\org\apache\commons\math\geometry\Vector3D.java,org.apache.commons.math.geometry.Vector3D,scalarMultiply/1[double],x,1
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons-math\src\main\java\org\apache\commons\math\geometry\Vector3D.java,org.apache.commons.math.geometry.Vector3D,scalarMultiply/1[double],y,1
