file,class,method,variable,usage
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\pamvotis\src\main\java\pamvotis\core\Simulator.java,pamvotis.core.Simulator,resetResultCounters/0,nodesList,7
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\pamvotis\src\main\java\pamvotis\core\Simulator.java,pamvotis.core.Simulator,resetResultCounters/0,nmbrOfNodes,1
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\pamvotis\src\main\java\pamvotis\core\Simulator.java,pamvotis.core.Simulator,confParams/0,outResults,1
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\pamvotis\src\main\java\pamvotis\core\Simulator.java,pamvotis.core.Simulator,confParams/0,seed,2
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\pamvotis\src\main\java\pamvotis\core\Simulator.java,pamvotis.core.Simulator,confParams/0,generator,3
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\pamvotis\src\main\java\pamvotis\core\Simulator.java,pamvotis.core.Simulator,confParams/0,slot,3
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\pamvotis\src\main\java\pamvotis\core\Simulator.java,pamvotis.core.Simulator,confParams/0,aifs0,1
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\pamvotis\src\main\java\pamvotis\core\Simulator.java,pamvotis.core.Simulator,confParams/0,cwMin,2
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\pamvotis\src\main\java\pamvotis\core\Simulator.java,pamvotis.core.Simulator,confParams/0,aifs1,1
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\pamvotis\src\main\java\pamvotis\core\Simulator.java,pamvotis.core.Simulator,confParams/0,aifs2,1
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\pamvotis\src\main\java\pamvotis\core\Simulator.java,pamvotis.core.Simulator,confParams/0,sifs,2
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\pamvotis\src\main\java\pamvotis\core\Simulator.java,pamvotis.core.Simulator,confParams/0,aifs3,1
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\pamvotis\src\main\java\pamvotis\core\Simulator.java,pamvotis.core.Simulator,confParams/0,nmbrOfNodes,1
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\pamvotis\src\main\java\pamvotis\core\Simulator.java,pamvotis.core.Simulator,confParams/0,totalTime,1
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\pamvotis\src\main\java\pamvotis\core\Simulator.java,pamvotis.core.Simulator,confParams/0,mixNodes,1
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\pamvotis\src\main\java\pamvotis\core\Simulator.java,pamvotis.core.Simulator,confParams/0,cwMaxFact2,1
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\pamvotis\src\main\java\pamvotis\core\Simulator.java,pamvotis.core.Simulator,confParams/0,rtsThr,1
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\pamvotis\src\main\java\pamvotis\core\Simulator.java,pamvotis.core.Simulator,confParams/0,cwMaxFact3,1
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\pamvotis\src\main\java\pamvotis\core\Simulator.java,pamvotis.core.Simulator,confParams/0,cwMaxFact0,1
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\pamvotis\src\main\java\pamvotis\core\Simulator.java,pamvotis.core.Simulator,confParams/0,ctsToSelf,1
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\pamvotis\src\main\java\pamvotis\core\Simulator.java,pamvotis.core.Simulator,confParams/0,cwMaxFact1,1
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\pamvotis\src\main\java\pamvotis\core\Simulator.java,pamvotis.core.Simulator,confParams/0,phyLayer,4
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\pamvotis\src\main\java\pamvotis\core\Simulator.java,pamvotis.core.Simulator,confParams/0,cwMinFact2,1
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\pamvotis\src\main\java\pamvotis\core\Simulator.java,pamvotis.core.Simulator,confParams/0,cwMinFact3,1
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\pamvotis\src\main\java\pamvotis\core\Simulator.java,pamvotis.core.Simulator,confParams/0,cwMinFact0,1
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\pamvotis\src\main\java\pamvotis\core\Simulator.java,pamvotis.core.Simulator,confParams/0,cwMinFact1,1
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\pamvotis\src\main\java\pamvotis\core\Simulator.java,pamvotis.core.Simulator,confParams/0,resultsPath,1
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\pamvotis\src\main\java\pamvotis\core\Simulator.java,pamvotis.core.Simulator,getSysThrBps/0,nodesList,1
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\pamvotis\src\main\java\pamvotis\core\Simulator.java,pamvotis.core.Simulator,getSysThrBps/0,simTime,1
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\pamvotis\src\main\java\pamvotis\core\Simulator.java,pamvotis.core.Simulator,getSysThrBps/0,nmbrOfNodes,1
