file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\pamvotis\src\main\java\pamvotis\core\Simulator.java,pamvotis.core.Simulator,resetResultCounters/0,false,635,1,1,1,0,2,1,11,0,1,0,1,0,0,1,0,0,7,0,8,8,0,1,0,0,0,7,2,0,false
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\pamvotis\src\main\java\pamvotis\core\Simulator.java,pamvotis.core.Simulator,confParams/0,false,1084,9,10,0,10,20,19,152,0,51,0,19,2,2,2,3,4,0,75,60,83,4,8,0,0,0,115,1,0,false
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\pamvotis\src\main\java\pamvotis\core\Simulator.java,pamvotis.core.Simulator,removeAllSources/1[int],false,1504,2,1,0,1,2,2,8,2,1,1,2,1,1,0,1,0,0,0,0,1,0,1,0,0,0,10,1,0,false
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\pamvotis\src\main\java\pamvotis\core\Simulator.java,pamvotis.core.Simulator,getSysThrBps/0,false,973,1,1,1,0,2,1,7,1,2,0,1,0,0,1,0,0,3,0,3,3,2,1,0,0,0,12,1,0,false
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\pamvotis\src\main\java\pamvotis\core\Simulator.java,pamvotis.core.Simulator,updateMeanResults/0,false,694,1,1,1,0,2,1,13,0,2,0,1,0,0,1,0,0,0,0,1,10,0,1,0,0,0,9,2,0,false
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\pamvotis\src\main\java\pamvotis\core\Simulator.java,pamvotis.core.Simulator,getSysThrPkts/0,false,988,1,1,1,0,2,1,7,1,2,0,1,0,0,1,0,0,2,0,2,3,2,1,0,0,0,12,1,0,false
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\pamvotis\src\main\java\pamvotis\core\Simulator.java,pamvotis.core.Simulator,getDelay/1[int],false,1034,1,4,2,2,1,2,3,1,0,1,2,2,3,0,0,0,0,0,0,0,1,0,0,0,0,5,1,0,false
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\pamvotis\src\main\java\pamvotis\core\Simulator.java,pamvotis.core.Simulator,getSysUtil/0,false,1003,1,1,1,0,2,1,7,1,2,0,1,0,0,1,0,0,4,0,2,3,2,1,0,0,0,12,1,0,false
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\pamvotis\src\main\java\pamvotis\core\Simulator.java,pamvotis.core.Simulator,freeze/0,false,647,1,3,3,0,4,5,24,0,3,0,5,0,0,1,2,0,1,0,5,14,3,3,0,0,0,21,2,0,false
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\pamvotis\src\main\java\pamvotis\core\Simulator.java,pamvotis.core.Simulator,"simulate/2[long,long]",false,724,4,5,0,5,8,12,34,0,5,2,12,5,14,3,3,0,8,0,10,16,11,3,0,0,0,34,1,0,false
