file,class,method,variable,usage
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\xstream\src\main\java\xcom\thoughtworks\xtream\io\xml\XmlFriendlyNameCoder.java,xcom.thoughtworks.xstream.io.xml.XmlFriendlyNameCoder,encodeName/1[java.lang.String],escapeCache,2
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\xstream\src\main\java\xcom\thoughtworks\xtream\io\xml\XmlFriendlyNameCoder.java,xcom.thoughtworks.xstream.io.xml.XmlFriendlyNameCoder,encodeName/1[java.lang.String],dollarReplacement,1
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\xstream\src\main\java\xcom\thoughtworks\xtream\io\xml\XmlFriendlyNameCoder.java,xcom.thoughtworks.xstream.io.xml.XmlFriendlyNameCoder,encodeName/1[java.lang.String],escapeCharReplacement,1
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\xstream\src\main\java\xcom\thoughtworks\xtream\io\xml\XmlFriendlyNameCoder.java,xcom.thoughtworks.xstream.io.xml.XmlFriendlyNameCoder,"XmlFriendlyNameCoder/2[java.lang.String,java.lang.String]",dollarReplacement,4
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\xstream\src\main\java\xcom\thoughtworks\xtream\io\xml\XmlFriendlyNameCoder.java,xcom.thoughtworks.xstream.io.xml.XmlFriendlyNameCoder,"XmlFriendlyNameCoder/2[java.lang.String,java.lang.String]",escapeCharReplacement,4
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\xstream\src\main\java\xcom\thoughtworks\xtream\io\xml\XmlFriendlyNameCoder.java,xcom.thoughtworks.xstream.io.xml.XmlFriendlyNameCoder,readResolve/0,unescapeCache,1
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\xstream\src\main\java\xcom\thoughtworks\xtream\io\xml\XmlFriendlyNameCoder.java,xcom.thoughtworks.xstream.io.xml.XmlFriendlyNameCoder,readResolve/0,escapeCache,1
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\xstream\src\main\java\xcom\thoughtworks\xtream\io\xml\XmlFriendlyNameCoder.java,xcom.thoughtworks.xstream.io.xml.XmlFriendlyNameCoder,decodeName/1[java.lang.String],unescapeCache,2
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\xstream\src\main\java\xcom\thoughtworks\xtream\io\xml\XmlFriendlyNameCoder.java,xcom.thoughtworks.xstream.io.xml.XmlFriendlyNameCoder,decodeName/1[java.lang.String],dollarReplacement,3
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\xstream\src\main\java\xcom\thoughtworks\xtream\io\xml\XmlFriendlyNameCoder.java,xcom.thoughtworks.xstream.io.xml.XmlFriendlyNameCoder,decodeName/1[java.lang.String],escapeCharReplacement,3
