file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\xstream\src\main\java\xcom\thoughtworks\xtream\io\xml\XmlFriendlyNameCoder.java,xcom.thoughtworks.xstream.io.xml.XmlFriendlyNameCoder,decodeAttribute/1[java.lang.String],false,76,1,1,0,1,1,1,3,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,true
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\xstream\src\main\java\xcom\thoughtworks\xtream\io\xml\XmlFriendlyNameCoder.java,xcom.thoughtworks.xstream.io.xml.XmlFriendlyNameCoder,encodeNode/1[java.lang.String],false,97,1,1,0,1,1,1,3,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,true
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\xstream\src\main\java\xcom\thoughtworks\xtream\io\xml\XmlFriendlyNameCoder.java,xcom.thoughtworks.xstream.io.xml.XmlFriendlyNameCoder,encodeName/1[java.lang.String],false,101,0,2,2,0,11,9,36,2,7,1,9,0,0,2,7,0,1,0,4,8,1,3,0,0,0,18,2,0,false
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\xstream\src\main\java\xcom\thoughtworks\xtream\io\xml\XmlFriendlyNameCoder.java,xcom.thoughtworks.xstream.io.xml.XmlFriendlyNameCoder,"XmlFriendlyNameCoder/2[java.lang.String,java.lang.String]",true,67,1,1,0,1,1,1,5,0,0,2,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,19,1,0,true
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\xstream\src\main\java\xcom\thoughtworks\xtream\io\xml\XmlFriendlyNameCoder.java,xcom.thoughtworks.xstream.io.xml.XmlFriendlyNameCoder,XmlFriendlyNameCoder/0,true,55,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,7,1,0,true
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\xstream\src\main\java\xcom\thoughtworks\xtream\io\xml\XmlFriendlyNameCoder.java,xcom.thoughtworks.xstream.io.xml.XmlFriendlyNameCoder,clone/0,false,199,2,1,0,1,2,2,10,1,1,0,2,1,1,0,0,1,0,1,0,1,0,1,0,0,0,13,1,0,false
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\xstream\src\main\java\xcom\thoughtworks\xtream\io\xml\XmlFriendlyNameCoder.java,xcom.thoughtworks.xstream.io.xml.XmlFriendlyNameCoder,readResolve/0,false,210,1,2,2,0,1,0,5,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,9,2,0,false
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\xstream\src\main\java\xcom\thoughtworks\xtream\io\xml\XmlFriendlyNameCoder.java,xcom.thoughtworks.xstream.io.xml.XmlFriendlyNameCoder,encodeAttribute/1[java.lang.String],false,90,1,1,0,1,1,1,3,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,true
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\xstream\src\main\java\xcom\thoughtworks\xtream\io\xml\XmlFriendlyNameCoder.java,xcom.thoughtworks.xstream.io.xml.XmlFriendlyNameCoder,decodeNode/1[java.lang.String],false,83,1,1,0,1,1,1,3,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,true
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\xstream\src\main\java\xcom\thoughtworks\xtream\io\xml\XmlFriendlyNameCoder.java,xcom.thoughtworks.xstream.io.xml.XmlFriendlyNameCoder,decodeName/1[java.lang.String],false,146,0,2,2,0,13,10,40,2,9,1,10,0,0,2,7,0,1,0,8,12,3,3,0,0,0,19,2,0,false
