file,class,method,variable,usage
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\xstream\src\main\java\xcom\thoughtworks\xtream\io\xml\XmlFriendlyNameCoder.java,xcom.thoughtworks.xstream.io.xml.XmlFriendlyNameCoder,decodeAttribute/1[java.lang.String],attributeName,1
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\xstream\src\main\java\xcom\thoughtworks\xtream\io\xml\XmlFriendlyNameCoder.java,xcom.thoughtworks.xstream.io.xml.XmlFriendlyNameCoder,encodeNode/1[java.lang.String],name,1
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\xstream\src\main\java\xcom\thoughtworks\xtream\io\xml\XmlFriendlyNameCoder.java,xcom.thoughtworks.xstream.io.xml.XmlFriendlyNameCoder,encodeName/1[java.lang.String],result,5
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\xstream\src\main\java\xcom\thoughtworks\xtream\io\xml\XmlFriendlyNameCoder.java,xcom.thoughtworks.xstream.io.xml.XmlFriendlyNameCoder,encodeName/1[java.lang.String],ref,2
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\xstream\src\main\java\xcom\thoughtworks\xtream\io\xml\XmlFriendlyNameCoder.java,xcom.thoughtworks.xstream.io.xml.XmlFriendlyNameCoder,encodeName/1[java.lang.String],s,4
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\xstream\src\main\java\xcom\thoughtworks\xtream\io\xml\XmlFriendlyNameCoder.java,xcom.thoughtworks.xstream.io.xml.XmlFriendlyNameCoder,encodeName/1[java.lang.String],c,6
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\xstream\src\main\java\xcom\thoughtworks\xtream\io\xml\XmlFriendlyNameCoder.java,xcom.thoughtworks.xstream.io.xml.XmlFriendlyNameCoder,encodeName/1[java.lang.String],name,7
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\xstream\src\main\java\xcom\thoughtworks\xtream\io\xml\XmlFriendlyNameCoder.java,xcom.thoughtworks.xstream.io.xml.XmlFriendlyNameCoder,encodeName/1[java.lang.String],length,5
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\xstream\src\main\java\xcom\thoughtworks\xtream\io\xml\XmlFriendlyNameCoder.java,xcom.thoughtworks.xstream.io.xml.XmlFriendlyNameCoder,encodeName/1[java.lang.String],i,9
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\xstream\src\main\java\xcom\thoughtworks\xtream\io\xml\XmlFriendlyNameCoder.java,xcom.thoughtworks.xstream.io.xml.XmlFriendlyNameCoder,"XmlFriendlyNameCoder/2[java.lang.String,java.lang.String]",dollarReplacement,2
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\xstream\src\main\java\xcom\thoughtworks\xtream\io\xml\XmlFriendlyNameCoder.java,xcom.thoughtworks.xstream.io.xml.XmlFriendlyNameCoder,"XmlFriendlyNameCoder/2[java.lang.String,java.lang.String]",escapeCharReplacement,2
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\xstream\src\main\java\xcom\thoughtworks\xtream\io\xml\XmlFriendlyNameCoder.java,xcom.thoughtworks.xstream.io.xml.XmlFriendlyNameCoder,clone/0,coder,2
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\xstream\src\main\java\xcom\thoughtworks\xtream\io\xml\XmlFriendlyNameCoder.java,xcom.thoughtworks.xstream.io.xml.XmlFriendlyNameCoder,clone/0,e,1
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\xstream\src\main\java\xcom\thoughtworks\xtream\io\xml\XmlFriendlyNameCoder.java,xcom.thoughtworks.xstream.io.xml.XmlFriendlyNameCoder,encodeAttribute/1[java.lang.String],name,1
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\xstream\src\main\java\xcom\thoughtworks\xtream\io\xml\XmlFriendlyNameCoder.java,xcom.thoughtworks.xstream.io.xml.XmlFriendlyNameCoder,decodeNode/1[java.lang.String],elementName,1
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\xstream\src\main\java\xcom\thoughtworks\xtream\io\xml\XmlFriendlyNameCoder.java,xcom.thoughtworks.xstream.io.xml.XmlFriendlyNameCoder,decodeName/1[java.lang.String],result,5
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\xstream\src\main\java\xcom\thoughtworks\xtream\io\xml\XmlFriendlyNameCoder.java,xcom.thoughtworks.xstream.io.xml.XmlFriendlyNameCoder,decodeName/1[java.lang.String],ref,2
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\xstream\src\main\java\xcom\thoughtworks\xtream\io\xml\XmlFriendlyNameCoder.java,xcom.thoughtworks.xstream.io.xml.XmlFriendlyNameCoder,decodeName/1[java.lang.String],s,4
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\xstream\src\main\java\xcom\thoughtworks\xtream\io\xml\XmlFriendlyNameCoder.java,xcom.thoughtworks.xstream.io.xml.XmlFriendlyNameCoder,decodeName/1[java.lang.String],dollarReplacementFirstChar,2
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\xstream\src\main\java\xcom\thoughtworks\xtream\io\xml\XmlFriendlyNameCoder.java,xcom.thoughtworks.xstream.io.xml.XmlFriendlyNameCoder,decodeName/1[java.lang.String],c,6
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\xstream\src\main\java\xcom\thoughtworks\xtream\io\xml\XmlFriendlyNameCoder.java,xcom.thoughtworks.xstream.io.xml.XmlFriendlyNameCoder,decodeName/1[java.lang.String],name,9
